,date,min_temp,mean_temp,max_temp,precipitation,liquid_outflow,qsim,snowwater,thermal
2323,2001-12-10,-4.75,-2.329999999999984,1.9300000000000068,0.0,0.0,0.0,3.7395856420581266,-2.2364062499999857
2324,2001-12-11,-4.699999999999989,-0.5799999999999841,1.990000000000009,0.0,0.0,0.0,3.7395856420581266,-0.9941015624999845
2325,2001-12-12,-2.909999999999968,-1.42999999999995,-0.3199999999999932,0.0,0.0,0.0,3.7395856420581266,-1.3210253906249587
2326,2001-12-13,-10.64,-3.4499999999999886,3.390000000000043,0.0,0.0,0.0,3.7395856420581266,-2.917756347656231
2327,2001-12-14,-12.29,-8.69,-3.669999999999959,0.0,0.0,0.0,3.7395856420581266,-7.2469390869140575
2328,2001-12-15,-12.41,-9.909999999999968,-4.88,0.0,0.0,0.0,3.7395856420581266,-9.24423477172849
2329,2001-12-16,-12.02,-5.919999999999959,-2.25,0.0,0.0,0.0,3.7395856420581266,-6.751058692932092
2330,2001-12-17,-8.519999999999982,-5.63,-1.009999999999991,0.0,0.0,0.0,3.7395856420581266,-5.910264673233023
2331,2001-12-18,-8.609999999999957,-5.96999999999997,-1.19,0.0,0.0,0.0,3.7395856420581266,-5.9550661683082335
2332,2001-12-19,-8.44,-6.139999999999986,-3.4499999999999886,0.0,0.0,0.0,3.7395856420581266,-6.093766542077049
2333,2001-12-20,-11.5,-5.949999999999989,-0.8999999999999773,0.0,0.0,0.0,3.7395856420581266,-5.985941635519254
2334,2001-12-21,-12.01,-4.2999999999999545,-1.9599999999999795,3.73,0.0,0.0,7.469585642058126,-4.721485408879779
2335,2001-12-22,-7.139999999999986,-2.56,-0.3299999999999841,6.28,0.0,0.0,13.749585642058126,-3.1003713522199448
2336,2001-12-23,-15.63,-8.829999999999984,-3.2799999999999727,1.07,0.0,0.0,14.819585642058126,-7.397592838054974
2337,2001-12-24,-16.42999999999995,-7.799999999999954,-3.25,0.91,0.0,0.0,15.729585642058126,-7.699398209513708
2338,2001-12-25,-2.859999999999957,-0.7899999999999636,0.4600000000000364,11.06,0.0698112449557425,1.5324096385543413,25.257176003503787,-2.5173495523783997
2339,2001-12-26,-5.269999999999982,-3.2199999999999704,-1.42999999999995,12.09,0.0,0.0,37.34717600350379,-3.044337388094578
